127.0.0.1 - - [12/Jun/2019:14:18:17 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:18:19 +0530] "GET /Jsp12-JavaBean/ HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:18:22 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:18:34 +0530] "GET /Jsp12-JavaBean/setValues.jsp HTTP/1.1" 200 97
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:18:42 +0530] "GET /Jsp12-JavaBean/getValues.jsp HTTP/1.1" 200 103
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:19:29 +0530] "GET /Jsp12-JavaBean/ HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:19:37 +0530] "GET /Jsp12-JavaBean/getValues.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:19:41 +0530] "GET /Jsp12-JavaBean/getValues.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:19:41 +0530] "GET /Jsp12-JavaBean/getValues.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:19:41 +0530] "GET /Jsp12-JavaBean/getValues.jsp HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:20:29 +0530] "GET /Jsp12-JavaBean/ HTTP/1.1" 404 1093
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:20:34 +0530] "GET /Jsp12-JavaBean/setValues.jsp HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:21:24 +0530] "GET /Jsp12-JavaBean/setValues.jsp?sno=1008&sname=raja&result=pass&avg=79.00 HTTP/1.1" 200 95
0:0:0:0:0:0:0:1 - - [12/Jun/2019:14:21:38 +0530] "GET /Jsp12-JavaBean/getValues.jsp HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [12/Jun/2019:15:01:43 +0530] "GET /Jsp12-JavaBean/getValues.jsp HTTP/1.1" 200 121
0:0:0:0:0:0:0:1 - - [12/Jun/2019:15:01:43 +0530] "GET /Jsp12-JavaBean/getValues.jsp HTTP/1.1" 200 121
